date;event;place;city;category;subcategory
15/06/2019;Concierto Marea;Auditorio Marina Sur;Valencia;Music;Concert
22/06/2019;Concierto Taburete;Auditorio Marina Sur;Valencia;Music;Concert
24/06/2019;Fiesta San Juan;Valencia;Valencia;Festivity;Local
29/06/2019;Concierto Vanesa Martín;Plaza de Toros;Valencia;Music;Concert
29/06/2019;Concierto Operación Triunfo – Gira OT;Auditorio Marina Sur;Valencia;Music;Concert
30/06/2019;Concierto David Bisbal;Concerts de Viveros;Valencia;Music;Concert
03/07/2019;Concierto Loreena McKennitt;Concerts de Viveros;Valencia;Music;Concert
04/07/2019;Concierto Ana Belén;Concerts de Viveros;Valencia;Music;Concert
05/07/2019;Concierto Poetas del Rock: Kiko Veneno + Bebe + Xavi Sarrià;Concerts de Viveros;Valencia;Music;Concert
05/07/2019;Concierto Melisa Aldana Cuarteto;Teatre El Musical;Valencia;Music;Concert
06/07/2019;Concierto Perico Sambeat's Electric Bath Ensemble;Teatre El Musical;Valencia;Music;Concert
06/07/2019;Concierto Miss Bolivia + Amparanoia + Tremenda Jauria + SES + TESA;Concerts de Viveros;Valencia;Music;Concert
06/07/2019;Concierto 90’s: Homenaje a la Ruta;Auditorio Marina Sur;Valencia;Music;Concert
07/07/2019;Concierto Kenny Barron Trío;Teatre Principal;Valencia;Music;Concert
07/07/2019;22nd International Conference on General Relativity and Gravitation;Palacio de Congresos;Valencia;Congress
08/07/2019;22nd International Conference on General Relativity and Gravitation;Palacio de Congresos;Valencia;Congress
09/07/2019;22nd International Conference on General Relativity and Gravitation;Palacio de Congresos;Valencia;Congress
09/07/2019;Concierto Luis Fonsi;Concerts de Viveros;Valencia;Music;Concert
09/07/2019;Concierto Amadou & Mariam and Blind Boys of Alabama;Teatre Principal;Valencia;Music;Concert
09/07/2019;Concierto Gregory Porter;Teatre Principal;Valencia;Music;Concert
10/07/2019;22nd International Conference on General Relativity and Gravitation;Palacio de Congresos;Valencia;Congress
10/07/2019;Concierto Echo&The Bunnymen & Julia;Concerts de Viveros;Valencia;Music;Concert
10/07/2019;Concierto Bobby McFerrin;Teatre Principal;Valencia;Music;Concert
11/07/2019;22nd International Conference on General Relativity and Gravitation;Palacio de Congresos;Valencia;Congress
11/07/2019;Concierto Albert Palau's Flight Modo Quinteto / Vicente Espí Cuarteto Espiral;Teatre El Musical;Valencia;Music;Concert
11/07/2019;Concierto Fista Rototom Sunplash | Green Valley + The Dance Crashers + Jamaleònics;Concerts de Viveros;Valencia;Music;Concert
12/07/2019;Concierto Leiva;Concerts de Viveros;Valencia;Music;Concert
12/07/2019;Concierto Orquesta de València & Abe Rábade Trío;Teatre El Musical;Valencia;Music;Concert
12/07/2019;Mare Nostrum Experience;El Saler;Valencia;Music;Festival
13/07/2019;Mare Nostrum Experience;El Saler;Valencia;Music;Festival
13/07/2019;Concierto Kyle Eastwood;Teatre El Musical;Valencia;Music;Concert
13/07/2019;Concierto Luz Casal & Morgan;Concerts de Viveros;Valencia;Music;Concert
13/07/2019;Nit a la Mar;Auditorio Marina Norte;Valencia;Music;Concert
15/07/2019;Concierto Paquito de Rivera Septeto;Espai Rambleta;Valencia;Music;Concert
16/07/2019;Concierto Andrés Calamaro;Concerts de Viveros;Valencia;Music;Concert
17/07/2019;Concierto Ketama;Concerts de Viveros;Valencia;Music;Concert
18/07/2019;Concierto Dulce Pontes;Concerts de Viveros;Valencia;Music;Concert
18/07/2019;Festival Internacional de Benicàssim;Benicàssim;Castellón;Music;Festival
19/07/2019;Festival Internacional de Benicàssim;Benicàssim;Castellón;Music;Festival
