propertyId;propertyType;district;coords
12656;Hotel; Poblados marítimos, Valencia;-0.323789566755295,39.4650841913551
13270;Hotel; Ciutat Vella, Valencia;-0.376952290534973,39.4710278753057
14441;Hotel; Campanar, Valencia;-0.388724505901337,39.4802276264005
14580;Hotel; Poblados marítimos, Valencia;-0.323579013347626,39.4637061283809
17344;Apartahotel; Benicalap, Valencia;-0.400978177785873,39.4935991016437
17468;Apartamentos; Ciutat Vella, Valencia;-0.375876724720001,39.47885710935
18544;Apartamentos; Extramurs, Valencia;-0.385724455118179,39.4721035025734
23332;Hotel; Poblados marítimos, Valencia;-0.323690325021744,39.4642807560034
24498;Hotel; Poblados marítimos, Valencia;-0.323730558156967,39.4647808334785
25278;Albergue; Ciutat Vella, Valencia;-0.369946360588074,39.4746625797156
90443;Hotel; Ciutat Vella, Valencia;-0.37554144859314,39.47305074477
90484;Hotel; Benicalap, Valencia;-0.398129671812057,39.4915644103027
90495;Hotel; Camins al Grau, Valencia;-0.347753763198853,39.4637309772411
90578;Hotel; Ciutat Vella, Valencia;-0.375754684209824,39.4714140263729
90719;Hotel; Ciutat Vella, Valencia;-0.372126996517181,39.4770693928241
90725;Hotel; Quatre Carreres, Valencia;-0.357551872730255,39.455673269361
90727;Hotel; Campanar, Valencia;-0.387002527713776,39.4806302882865
90729;Hotel; Camins al Grau, Valencia;-0.343310683965683,39.463001038275
90730;Hotel; Camins al Grau, Valencia;-0.355198234319687,39.4665481592417
90731;Hotel; Quatre Carreres, Valencia;-0.357581377029419,39.455673269361
90792;Hotel; Eixample, Valencia;-0.376139581203461,39.4626821405508
90885;Hotel; Ciutat Vella, Valencia;-0.37528395652771,39.4703342473632
90886;Hotel; Eixample, Valencia;-0.365028530359268,39.4684106877284
90896;Hotel; Ciutat Vella, Valencia;-0.375721156597137,39.4682740280778
91047;Hotel; Extramurs, Valencia;-0.381288081407547,39.4679313424706
91063;Hotel; Camins al Grau, Valencia;-0.343730449676514,39.4588128007715
91106;Hotel; Campanar, Valencia;-0.393442511558533,39.4807938366645
91144;Hotel; Poblados marítimos, Valencia;-0.324724316596985,39.4664394498137
91182;Hotel; Valencia;-0.355652868747711,39.4684872998393
91183;Hotel; Ciutat Vella, Valencia;-0.374841392040253,39.4683206166252
91206;Hotel; Poblados marítimos, Valencia;-0.323499888181686,39.4631677342312
91223;Hotel; Campanar, Valencia;-0.391283333301544,39.4799491776147
91285;Hotel; Camins al Grau, Valencia;-0.349481105804443,39.459939352719
91497;Hotel; El Pla del Real, Valencia;-0.360142886638641,39.4675203245768
91520;Hotel; Camins al Grau, Valencia;-0.356647968292236,39.4634214012245
91522;Hotel; Camins al Grau, Valencia;-0.347997844219208,39.4582433052569
91988;Hotel; Camins al Grau, Valencia;-0.352583080530167,39.4607003862247
92242;Hotel; Quatre Carreres, Valencia;-0.36796823143959,39.4455009192576
92283;Albergue; Ciutat Vella, Valencia;-0.37261113524437,39.4731232108551
92327;Hotel; Extramurs, Valencia;-0.377895087003708,39.4671279399899
92328;Hotel; Poblados marítimos, Valencia;-0.333398580551147,39.4608194587415
92412;Hotel; Ciutat Vella, Valencia;-0.379478931427002,39.4696696003696
92776;Hotel; Camins al Grau, Valencia;-0.345899015665054,39.4559290346383
92777;Hotel; Camins al Grau, Valencia;-0.345901697874069,39.4559259281831
92818;Hotel; Benicalap, Valencia;-0.39826512336731,39.4917714009523
92852;Hotel; Valencia;-0.423440337181091,39.5039682717133
92883;Hotel; Ciutat Vella, Valencia;-0.376956313848495,39.4708394576531
92956;Hotel; Ciutat Vella, Valencia;-0.374445766210556,39.4728830372551
93321;Hotel; El Pla del Real, Valencia;-0.361496061086655,39.4733561370459
93369;Hotel; Extramurs, Valencia;-0.386800020933151,39.4747588538388
93646;Hotel; Valencia;-0.401709079742432,39.495335683265
93676;Apartamento; Quatre Carreres, Valencia;-0.358159393072128,39.4554061127238
93743;Hotel; Camins al Grau, Valencia;-0.346954464912415,39.4643563373016
93823;Hotel; Eixample, Valencia;-0.366586893796921,39.4710330516077
93856;Hotel; Ciutat Vella, Valencia;-0.374559760093689,39.4697772694724
94126;Hostal o pensión; Quatre Carreres, Valencia;-0.358160734176636,39.4554071482166
94163;Hotel; Ciutat Vella, Valencia;-0.371268689632416,39.4728540507301
94652;Hotel; Valencia;-0.425091236829758,39.5006186401055
94781;Apartamento; Ciutat Vella, Valencia;-0.380166918039322,39.4782587935898
96737;Hotel; Quatre Carreres, Valencia;-0.358284115791321,39.4511563204462
96838;Hotel; Quatre Carreres, Valencia;-0.363136231899261,39.4561164571802
97063;Apartamento; Campanar, Valencia;-0.39825439453125,39.4766284087823
97069;Hotel; Ciutat Vella, Valencia;-0.377393513917923,39.4800806387045
173107;Apartamentos; Ciutat Vella, Valencia;-0.378717184066772,39.4755652737887
189207;Bed & breakfast; Eixample, Valencia;-0.37065178155899,39.465205327066
189277;Apartamento; Ciutat Vella, Valencia;-0.382179915904999,39.4756926024
189322;Albergue; Ciutat Vella, Valencia;-0.37809357047081,39.474450362092
189343;Apartamentos; Poblados marítimos, Valencia;-0.333708375692368,39.4617565005687
189782;Apartamentos; Playa de la Malvarrosa, Valencia;-0.326210260391235,39.4942676596561
235665;Hostal o pensión; Ciutat Vella, Valencia;-0.380751639604568,39.473327150718
237104;Apartamentos; Ciutat Vella, Valencia;-0.382379740476608,39.4714368019721
246931;Albergue; Ciutat Vella, Valencia;-0.37616103887558,39.4776439100935
247451;Residencia de estudiantes; Algirós, Valencia;-0.343263745307922,39.4746346291388
249585;Hostal o pensión; El Pla del Real, Valencia;-0.354809314012527,39.470917102352
257057;Hostal o pensión; Extramurs, Valencia;-0.388147830963135,39.4664146019205
273130;Hotel; Ciutat Vella, Valencia;-0.378859341144562,39.4700071010383
274818;Hotel; El Pla del Real, Valencia;-0.355263948440552,39.4780807470759
274963;Hotel; Eixample, Valencia;-0.375477075576782,39.4574480746338
281139;Hostal o pensión; Quatre Carreres, Valencia;-0.372306704521179,39.4563629015225
281640;Apartamento; Extramurs, Valencia;-0.387736782431602,39.469926970666
290493;Hotel; Benicalap, Valencia;-0.401277244091034,39.494700252591
291755;Hostal o pensión; Valencia;-0.362346321344376,39.4623911968718
292996;Apartamento; Playa de la Malvarrosa, Valencia;-0.325732827186584,39.4916265075623
295109;Hostal o pensión; Poblados marítimos, Valencia;-0.333830416202545,39.4600801704305
296743;Hostal o pensión; Ciutat Vella, Valencia;-0.375660806894302,39.468284381091
298710;Hostal o pensión; Ciutat Vella, Valencia;-0.375876724720001,39.4686260296634
304276;Hostal o pensión; Ciutat Vella, Valencia;-0.37527322769165,39.4704802203853
305349;Bed & breakfast; Eixample, Valencia;-0.366317331790924,39.4694076738758
305447;Hotel; Eixample, Valencia;-0.361691862344742,39.464117168803
307677;Apartamento; Ciutat Vella, Valencia;-0.377732813358307,39.4745424956764
309465;Hostal o pensión; Ciutat Vella, Valencia;-0.376928150653839,39.4733074814172
312207;Apartamento; Ciutat Vella, Valencia;-0.381250530481339,39.4784979134816
314048;Hostal o pensión; Poblados marítimos, Valencia;-0.323698371648788,39.4645240653687
324918;Apartamento; Quatre Carreres, Valencia;-0.360569357872009,39.4531714833354
326015;Hostal o pensión; Ciutat Vella, Valencia;-0.375687628984451,39.4707970118478
327766;Hostal o pensión; Ciutat Vella, Valencia;-0.379728376865387,39.4750073025733
331871;Hotel; Camins al Grau, Valencia;-0.345542281866074,39.4577949536919
